,open,close,high,low,volume,money
2016-05-03,156.74,156.74,156.75,156.74,15913400.0,167869253.0
2016-05-04,156.76,156.78,156.78,156.74,18890100.0,195162287.0
2016-05-05,156.8,156.77,156.8,156.75,20322600.0,212192174.0
2016-05-06,156.79,156.82,156.83,156.78,16462300.0,175211241.0
2016-05-09,156.87,156.88,156.89,156.86,28804200.0,299535766.0
2016-05-10,156.89,156.91,156.91,156.89,16646100.0,173715679.0
2016-05-11,156.92,156.94,156.94,156.9,11262600.0,118172232.0
2016-05-12,156.95,157.04,157.05,156.93,11421800.0,120152909.0
2016-05-13,157.06,157.14,157.15,156.98,18028600.0,187654589.0
2016-05-16,157.18,157.16,157.21,157.15,43194700.0,442082541.0
2016-05-17,157.17,157.17,157.17,157.16,22655000.0,236692613.0
2016-05-18,157.18,157.16,157.18,157.16,19241500.0,201683855.0
2016-05-19,157.18,157.16,157.18,157.13,25435700.0,261678110.0
2016-05-20,157.18,157.18,157.19,157.16,13717300.0,140611187.0
2016-05-23,157.22,157.16,157.23,157.16,20232200.0,209993587.0
2016-05-24,157.18,157.18,157.26,157.15,29667800.0,310606973.0
2016-05-25,157.19,157.16,157.19,157.14,35623400.0,364057900.0
2016-05-26,157.17,157.18,157.18,157.17,13428100.0,141797054.0
2016-05-27,157.19,157.15,157.21,157.15,13268000.0,139744777.0
2016-05-30,157.19,157.23,157.24,157.19,19553600.0,206326921.0
2016-05-31,157.25,157.18,157.25,157.15,25684400.0,267659800.0
2016-06-01,157.2,157.2,157.2,157.17,28774700.0,298578438.0
2016-06-02,157.22,157.21,157.22,157.19,33436600.0,344021262.0
2016-06-03,157.22,157.21,157.22,157.16,24795600.0,262157238.0
2016-06-06,157.25,157.22,157.25,157.21,11625600.0,122572587.0
2016-06-07,157.23,157.23,157.24,157.11,27845400.0,294127558.0
2016-06-08,157.24,157.23,157.24,157.21,24890500.0,266148794.0
2016-06-13,157.3,157.27,157.31,157.26,31592500.0,327271654.0
2016-06-14,157.28,157.26,157.29,157.25,52143200.0,550805326.0
2016-06-15,157.28,157.31,157.31,157.23,23103400.0,245506790.0
2016-06-16,157.32,157.33,157.34,157.32,34901300.0,369449303.0
2016-06-17,157.34,157.36,157.36,157.34,25912900.0,274405031.0
2016-06-20,157.41,157.52,157.52,157.4,22428200.0,236495566.0
2016-06-21,157.53,157.52,157.53,157.52,26045100.0,278529763.0
2016-06-22,157.53,157.53,157.54,157.5,36466600.0,382994070.0
2016-06-23,157.55,157.56,157.56,157.52,37288900.0,392011552.0
2016-06-24,157.57,157.53,157.59,157.5,57779700.0,611391180.0
2016-06-27,157.58,157.66,157.66,157.57,50398800.0,516755242.0
2016-06-28,157.68,157.59,157.68,157.59,47890600.0,501278245.0
2016-06-29,157.61,157.65,157.65,157.59,43466000.0,454881013.0
2016-06-30,157.67,157.67,157.67,157.64,40748400.0,428685777.0
2016-07-01,157.69,157.77,157.77,157.68,48253900.0,492279913.0
2016-07-04,157.81,157.81,157.85,157.81,40913200.0,424208790.0
2016-07-05,157.83,157.79,157.84,157.66,20058700.0,210872613.0
2016-07-06,157.81,157.84,157.84,157.79,25671800.0,269518818.0
2016-07-07,157.86,157.95,157.95,157.85,53431600.0,556047811.0
2016-07-08,157.96,157.95,157.96,157.95,22363100.0,233033424.0
2016-07-11,158.0,158.0,158.01,157.98,44353100.0,453938176.0
2016-07-12,158.02,158.03,158.03,157.97,50085800.0,521760445.0
2016-07-13,158.04,158.01,158.04,158.01,33542800.0,356668596.0
2016-07-14,158.03,158.02,158.03,158.02,28997400.0,307516791.0
2016-07-15,158.04,158.03,158.06,158.02,38323200.0,401180865.0
2016-07-18,158.07,158.08,158.09,158.07,10696500.0,110699375.0
2016-07-19,158.09,158.11,158.11,158.09,41413500.0,428367581.0
2016-07-20,158.13,158.18,158.19,158.13,52134300.0,539860477.0
2016-07-21,158.2,158.28,158.29,158.2,39559500.0,412497083.0
2016-07-22,158.3,158.3,158.3,158.26,28221200.0,290404151.0
2016-07-25,158.34,158.33,158.34,158.32,30635800.0,317000675.0
2016-07-26,158.35,158.34,158.35,158.33,14491400.0,154585080.0
2016-07-27,158.35,158.35,158.36,158.35,25170000.0,266384868.0
2016-07-28,158.37,158.39,158.39,158.36,21904000.0,230962538.0
2016-07-29,158.4,158.44,158.45,158.39,35419800.0,364105379.0
2016-08-01,158.49,158.51,158.51,158.45,34565000.0,356319634.0
2016-08-02,158.52,158.54,158.54,158.52,10953900.0,115339402.0
2016-08-03,158.56,158.57,158.57,158.55,13896200.0,147760637.0
2016-08-04,158.59,158.62,158.62,158.51,18525700.0,198304404.0
2016-08-05,158.63,158.59,158.66,158.59,12461700.0,130290093.0
2016-08-08,158.64,158.7,158.7,158.63,20033900.0,213851647.0
