,open,close,high,low,volume,money
2016-05-03,10.43,10.53,10.6,10.36,47791645.0,501830132.0
2016-05-04,10.5,10.51,10.6,10.47,39777662.0,418592994.0
2016-05-05,10.5,10.5,10.53,10.45,25699440.0,269576075.0
2016-05-06,10.5,10.3,10.52,10.29,40272847.0,418454827.0
2016-05-09,10.29,10.18,10.35,10.11,37762247.0,386423417.0
2016-05-10,10.1,10.16,10.21,10.1,28985746.0,294675478.0
2016-05-11,10.2,10.14,10.21,10.11,20545544.0,208655785.0
2016-05-12,10.13,10.12,10.17,10.0,25238882.0,254410730.0
2016-05-13,10.1,10.02,10.15,10.01,18950004.0,190929402.0
2016-05-16,10.01,10.05,10.08,10.0,19004709.0,190872655.0
2016-05-17,10.05,10.03,10.08,9.97,16801576.0,168387277.0
2016-05-18,10.03,10.21,10.24,9.89,53272900.0,536935470.0
2016-05-19,10.14,10.08,10.17,10.07,17860881.0,180686332.0
2016-05-20,10.06,10.14,10.17,10.04,19168158.0,194223009.0
2016-05-23,10.17,10.2,10.28,10.14,24226683.0,247441303.0
2016-05-24,10.16,10.2,10.23,10.13,18454669.0,187905438.0
2016-05-25,10.28,10.27,10.3,10.23,23685701.0,243549455.0
2016-05-26,10.26,10.29,10.38,10.26,19038154.0,196266938.0
2016-05-27,10.28,10.31,10.33,10.25,19995097.0,205801175.0
2016-05-30,10.37,10.43,10.44,10.28,30175578.0,313324795.0
2016-05-31,10.42,10.63,10.69,10.42,61306341.0,650177320.0
2016-06-01,10.64,10.57,10.67,10.54,31507708.0,333790682.0
2016-06-02,10.58,10.47,10.64,10.42,30602865.0,321768768.0
2016-06-03,10.53,10.47,10.54,10.4,30976205.0,323746001.0
2016-06-06,10.49,10.47,10.53,10.44,30722826.0,321865763.0
2016-06-07,10.52,10.47,10.54,10.44,28447785.0,298145352.0
2016-06-08,10.47,10.46,10.5,10.44,40877689.0,427741583.0
2016-06-13,10.38,10.33,10.43,10.33,51705689.0,536281150.0
2016-06-14,10.33,10.34,10.36,10.29,32300773.0,333449719.0
2016-06-15,10.24,10.31,10.32,10.2,45306211.0,464557383.0
2016-06-16,10.27,10.35,10.42,10.23,53115767.0,549171213.0
2016-06-17,10.32,10.33,10.46,10.31,29958871.0,311113072.0
2016-06-20,10.42,10.37,10.42,10.32,16657637.0,172507202.0
2016-06-21,10.39,10.33,10.43,10.32,27275892.0,282663680.0
2016-06-22,10.35,10.4,10.4,10.33,24479334.0,253800359.0
2016-06-23,10.46,10.35,10.46,10.34,19575414.0,203560849.0
2016-06-24,10.33,10.06,10.39,9.92,46461326.0,470756348.0
2016-06-27,10.06,10.08,10.13,9.99,29120078.0,292488228.0
2016-06-28,10.05,10.06,10.07,9.99,19085403.0,191346962.0
2016-06-29,10.06,10.2,10.23,10.06,32295732.0,326320213.0
2016-06-30,10.2,10.25,10.31,10.16,31509413.0,323223547.0
2016-07-01,10.25,10.48,10.5,10.23,38150790.0,394802033.0
2016-07-04,10.44,10.48,10.55,10.4,32536277.0,341120776.0
2016-07-05,10.49,10.39,10.5,10.36,24573732.0,255727223.0
2016-07-06,10.34,10.29,10.37,10.27,34914175.0,360070168.0
2016-07-07,10.29,10.25,10.29,10.17,37226234.0,380536334.0
2016-07-08,10.23,10.17,10.24,10.16,22643460.0,230568191.0
2016-07-11,10.24,10.15,10.25,10.13,34725721.0,354003568.0
2016-07-12,10.19,10.29,10.3,10.17,38817346.0,397267013.0
2016-07-13,10.3,10.39,10.51,10.29,55065884.0,573546775.0
2016-07-14,10.38,10.33,10.42,10.29,25655364.0,265364888.0
2016-07-15,10.34,10.34,10.36,10.3,24310066.0,251152944.0
2016-07-18,10.35,10.38,10.47,10.31,42193582.0,438169692.0
2016-07-19,10.38,10.35,10.4,10.3,26105753.0,269908287.0
2016-07-20,10.33,10.36,10.37,10.29,22590571.0,233284416.0
2016-07-21,10.36,10.42,10.44,10.33,33461377.0,348156592.0
2016-07-22,10.4,10.29,10.41,10.25,25394423.0,262066573.0
2016-07-25,10.29,10.33,10.37,10.29,17386755.0,179598105.0
2016-07-26,10.33,10.36,10.39,10.3,31093831.0,321598665.0
2016-07-27,10.35,10.44,10.45,10.17,61842016.0,637937308.0
2016-07-28,10.38,10.32,10.39,10.3,26518399.0,274345301.0
2016-07-29,10.3,10.33,10.34,10.27,21803098.0,224747562.0
2016-08-01,10.32,10.4,10.43,10.3,34813023.0,361191350.0
2016-08-02,10.39,10.36,10.43,10.32,16529488.0,171311340.0
2016-08-03,10.29,10.31,10.35,10.28,16083003.0,165699514.0
2016-08-04,10.33,10.26,10.33,10.19,23721081.0,243122631.0
2016-08-05,10.27,10.35,10.4,10.26,26817972.0,277447198.0
2016-08-08,10.37,10.36,10.37,10.31,19950855.0,206333087.0
2016-08-09,10.36,10.39,10.4,10.34,23524117.0,243949588.0
2016-08-10,10.4,10.42,10.43,10.35,28111145.0,292534452.0
2016-08-11,10.36,10.58,10.79,10.36,80064713.0,852413099.0
2016-08-12,10.61,10.77,10.79,10.53,71406583.0,763634354.0
2016-08-15,10.86,11.15,11.2,10.83,117513408.0,1299618491.0
2016-08-16,11.15,10.99,11.18,10.97,75041983.0,829743468.0
2016-08-17,11.0,10.95,11.09,10.87,55382774.0,606581272.0
2016-08-18,10.89,10.82,11.04,10.76,56391066.0,612294413.0
2016-08-19,10.81,10.81,10.86,10.77,30280719.0,327521631.0
