,open,close,high,low,volume,money
2016-05-03,2940.39,2992.64,2993.53,2929.81,16870364300.0,195816604813.0
2016-05-04,2983.03,2991.27,3004.42,2978.33,16540710600.0,189046374911.0
2016-05-05,2987.02,2997.84,2999.12,2977.2,14483138300.0,163113776353.0
2016-05-06,2998.4,2913.25,3003.59,2913.04,20679649800.0,234077433966.0
2016-05-09,2896.16,2832.11,2896.16,2821.83,18037833000.0,188705685662.0
2016-05-10,2822.33,2832.59,2845.24,2820.16,12082931000.0,128535266100.0
2016-05-11,2843.54,2837.04,2857.25,2818.7,13579546600.0,146022521906.0
2016-05-12,2812.11,2835.86,2839.28,2781.24,13633765500.0,140838630936.0
2016-05-13,2828.46,2827.11,2850.09,2814.11,11431971000.0,123692646942.0
2016-05-16,2816.78,2850.86,2851.23,2804.99,11465359200.0,126844299054.0
2016-05-17,2850.93,2843.68,2860.32,2832.46,12336906400.0,140000997865.0
2016-05-18,2828.18,2807.51,2828.26,2781.42,14048782600.0,149396820878.0
2016-05-19,2802.31,2806.91,2829.4,2801.55,11159507100.0,124151052180.0
2016-05-20,2792.89,2825.48,2825.95,2785.08,10870089900.0,123794592281.0
2016-05-23,2826.31,2843.64,2848.07,2826.26,12047045500.0,139950365055.0
2016-05-24,2839.68,2821.67,2839.7,2807.19,11145244500.0,121096058813.0
2016-05-25,2835.03,2815.09,2843.16,2807.75,10352726500.0,117767628730.0
2016-05-26,2813.54,2822.44,2827.09,2780.76,11476679700.0,127105183330.0
2016-05-27,2817.97,2821.05,2832.8,2809.8,10984582300.0,123858864609.0
2016-05-30,2814.65,2822.45,2830.97,2794.66,10631958900.0,115587479346.0
2016-05-31,2822.59,2916.62,2917.14,2822.59,21526034100.0,236528504779.0
2016-06-01,2917.15,2913.51,2929.08,2909.51,18838642100.0,219868045396.0
2016-06-02,2911.22,2925.23,2925.67,2906.52,15971691600.0,185084899734.0
2016-06-03,2929.79,2938.68,2945.52,2915.18,17202102300.0,211302476506.0
2016-06-06,2940.99,2934.1,2945.94,2922.28,14199374200.0,172426791396.0
2016-06-07,2936.28,2936.04,2938.44,2923.5,13298786700.0,163605603318.0
