,open,close,high,low,volume,money
2016-05-03,8.14,8.49,8.5,8.14,40704761.0,340747591.0
2016-05-04,8.4,8.42,8.59,8.38,26200114.0,221720079.0
2016-05-05,8.42,8.39,8.44,8.33,21843411.0,182887117.0
2016-05-06,8.42,8.01,8.44,7.99,44405362.0,362680101.0
2016-05-09,7.91,7.51,8.0,7.46,47949991.0,367617294.0
2016-05-10,7.45,7.54,7.58,7.39,21831491.0,164155709.0
2016-05-11,7.58,7.58,7.66,7.49,24617080.0,186939857.0
2016-05-12,7.55,7.76,7.84,7.37,31784560.0,242530515.0
2016-05-13,7.76,8.03,8.18,7.73,44680156.0,354321192.0
2016-05-16,7.92,7.99,8.02,7.77,31008821.0,245228383.0
2016-05-17,8.01,7.85,8.02,7.82,21023752.0,165839380.0
2016-05-18,7.77,7.61,7.77,7.47,26539277.0,201816042.0
2016-05-19,7.59,7.56,7.7,7.54,17537512.0,133610337.0
2016-05-20,7.49,7.61,7.62,7.46,13249925.0,100029812.0
2016-05-23,7.64,7.72,7.78,7.6,20662172.0,158732659.0
2016-05-24,7.71,7.69,7.72,7.56,14550306.0,110879165.0
2016-05-25,7.71,7.62,7.77,7.6,15552235.0,119586966.0
2016-05-26,7.56,7.59,7.65,7.46,17364258.0,130799948.0
2016-05-27,7.57,7.6,7.71,7.54,17413536.0,132481158.0
2016-05-30,7.55,7.52,7.6,7.49,12045017.0,90770380.0
2016-05-31,7.53,7.81,7.84,7.53,36323687.0,280813376.0
2016-06-01,7.77,7.81,7.88,7.75,22959850.0,179664639.0
2016-06-02,7.8,8.2,8.24,7.78,65927184.0,533124742.0
2016-06-03,8.16,8.11,8.27,7.99,37335948.0,303698437.0
2016-06-06,8.09,8.1,8.16,8.04,18903873.0,153133044.0
2016-06-07,8.1,8.16,8.18,8.07,20837405.0,169326027.0
2016-06-08,8.21,8.05,8.21,7.94,25818513.0,207163452.0
2016-06-13,7.92,7.64,7.94,7.63,28605893.0,223581735.0
2016-06-14,7.64,7.7,7.73,7.54,17229146.0,131800445.0
2016-06-15,7.59,7.85,7.91,7.55,20077943.0,156686298.0
2016-06-16,7.84,7.74,7.85,7.72,19004795.0,148043453.0
2016-06-17,7.74,7.78,7.94,7.74,19859439.0,155816152.0
2016-06-20,7.84,7.75,7.85,7.68,15154528.0,117215522.0
2016-06-21,7.8,7.75,7.92,7.71,20313397.0,158790498.0
2016-06-22,7.71,7.82,7.83,7.69,13058534.0,101455678.0
2016-06-23,7.82,7.77,7.83,7.74,13319161.0,103529653.0
2016-06-24,7.76,7.63,7.8,7.4,23980824.0,183209893.0
2016-06-27,7.57,7.74,7.78,7.54,21900061.0,168908852.0
2016-06-28,7.72,7.93,7.93,7.69,31951883.0,250237224.0
2016-06-29,7.95,7.89,7.95,7.86,20047640.0,158487031.0
2016-06-30,7.94,7.86,7.94,7.85,14325636.0,112802746.0
2016-07-01,7.9,7.85,7.9,7.75,22923377.0,179394854.0
2016-07-04,7.9,8.32,8.39,7.86,77736208.0,636580520.0
